Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2310798;GP;777;0;561;23/06/2016;14:15;LC;132;23/06/2016;16:35;LC
2310799;GP;330;2;321;23/06/2016;11:35;LC;144;23/06/2016;16:15;LC
2310800;GP;350;2;183;23/06/2016;14:20;LC;116;23/06/2016;23:25;LC
2310801;GP;777;2;443;23/06/2016;08:00;LC;128;23/06/2016;14:00;LC
2310802;GP;777;0;351;23/06/2016;08:05;LC;934;23/06/2016;11:35;LC
2310803;GP;340;0;755;23/06/2016;12:40;LC;914;23/06/2016;16:10;LC
2310804;GP;777;2;77;23/06/2016;17:05;LC;926;23/06/2016;22:05;LC
2310805;GP;777;0;459;23/06/2016;11:20;LC;804;23/06/2016;14:30;LC
2310806;GP;330;0;373;23/06/2016;06:40;LC;888;23/06/2016;10:35;LC
2310807;GP;330;2;833;23/06/2016;06:00;LC;830;23/06/2016;11:00;LC
2310809;MP;319;0;1151;23/06/2016;14:30;MC;1046;23/06/2016;15:55;MC
2310810;MP;320;0;1083;23/06/2016;17:25;MC;1042;23/06/2016;18:30;MC
2310811;MP;319;0;7629;23/06/2016;16:35;MC;1050;23/06/2016;17:40;MC
2310812;MP;318;0;1443;23/06/2016;16:00;MC;1048;23/06/2016;16:55;MC
2310813;3N;E90;0;1577;23/06/2016;20:15;MC;1018;23/06/2016;21:00;MC
2310814;MP;321;0;1535;23/06/2016;17:20;MC;1022;23/06/2016;18:15;MC
2310816;MP;320;0;1341;23/06/2016;11:55;MC;1012;23/06/2016;13:25;MC
2310817;MP;321;0;1295;23/06/2016;18:05;MC;1032;23/06/2016;19:00;MC
2310818;MP;319;0;1351;23/06/2016;08:50;MC;1024;23/06/2016;09:40;MC
2310819;MP;318;0;1605;23/06/2016;20:35;MC;1028;23/06/2016;21:25;MC
2310820;MP;321;0;1069;23/06/2016;16:55;MC;1080;23/06/2016;18:15;MC
2310821;MP;320;0;1139;23/06/2016;12:10;MC;1082;23/06/2016;13:10;MC
2310822;MP;318;0;7645;23/06/2016;16:25;MC;1100;23/06/2016;17:15;MC
2310824;3N;E70;0;7757;23/06/2016;20:00;MC;1092;23/06/2016;20:45;MC
2310825;MP;319;0;1591;23/06/2016;18:10;MC;1088;23/06/2016;19:10;MC
2310828;MP;320;0;1321;23/06/2016;12:05;MC;1060;23/06/2016;13:20;MC
2310830;MP;321;0;1505;23/06/2016;15:00;MC;1062;23/06/2016;16:00;MC
2310831;MP;321;0;1681;23/06/2016;12:05;MC;1068;23/06/2016;13:05;MC
2310832;MP;320;0;1497;23/06/2016;11:45;MC;1064;23/06/2016;12:35;MC
2310833;GP;777;0;379;23/06/2016;08:35;LC;958;23/06/2016;11:20;LC
2310834;GP;777;0;943;23/06/2016;14:00;LC;946;23/06/2016;16:35;LC
2310836;GP;777;0;977;23/06/2016;06:50;LC;976;23/06/2016;10:40;LC
2310837;3N;E90;0;7535;23/06/2016;16:10;MC;1006;23/06/2016;18:30;MC
2310838;3N;E70;0;1725;23/06/2016;07:55;MC;1010;23/06/2016;08:35;MC
2310839;MP;321;0;1625;23/06/2016;19:20;MC;1004;23/06/2016;20:35;MC
2310840;GP;777;2;293;23/06/2016;04:30;LC;990;23/06/2016;23:25;LC
2310841;MP;320;0;1427;23/06/2016;14:40;MC;1194;23/06/2016;16:15;MC
2310842;3N;E70;0;1311;23/06/2016;08:15;MC;1192;23/06/2016;09:05;MC
2310843;3N;E90;0;1507;23/06/2016;16:05;MC;1202;23/06/2016;16:45;MC
2310844;MP;320;0;1581;23/06/2016;14:30;MC;1196;23/06/2016;15:20;MC
2310845;MP;319;0;1259;23/06/2016;17:50;MC;1180;23/06/2016;19:05;MC
2310846;MP;319;0;1327;23/06/2016;08:45;MC;1178;23/06/2016;09:40;MC
2310848;3N;E70;0;7753;23/06/2016;12:20;MC;1186;23/06/2016;13:00;MC
2310850;MP;320;0;1889;23/06/2016;17:20;MC;1168;23/06/2016;18:20;MC
2310853;MP;320;0;1511;23/06/2016;19:55;MC;1242;23/06/2016;20:45;MC
2310854;MP;318;0;1615;23/06/2016;16:35;MC;1238;23/06/2016;17:25;MC
2310855;3N;E90;0;1275;23/06/2016;09:05;MC;1218;23/06/2016;12:35;MC
2310858;3N;E70;0;1011;23/06/2016;12:00;MC;1210;23/06/2016;12:40;MC
2310860;MP;320;1;7627;23/06/2016;13:25;MC;1226;23/06/2016;15:40;MC
2310861;MP;318;0;7733;23/06/2016;19:45;MC;1122;23/06/2016;21:00;MC
2310863;MP;320;0;1141;23/06/2016;20:00;MC;1124;23/06/2016;20:50;MC
2310864;3N;E90;0;1487;23/06/2016;19:40;MC;1106;23/06/2016;20:30;MC
2310867;3N;E90;0;1219;23/06/2016;16:00;MC;1118;23/06/2016;16:40;MC
2310869;MP;320;0;1065;23/06/2016;16:00;MC;1120;23/06/2016;17:30;MC
2310870;MP;318;0;1843;23/06/2016;13:15;MC;1142;23/06/2016;15:00;MC
2310871;MP;319;0;1045;23/06/2016;18:05;MC;1144;23/06/2016;19:30;MC
2310872;MP;320;0;1263;23/06/2016;15:50;MC;1140;23/06/2016;16:45;MC
2310873;MP;319;0;1695;23/06/2016;08:55;MC;1150;23/06/2016;09:50;MC
2310874;MP;319;0;1285;23/06/2016;16:10;MC;1152;23/06/2016;17:05;MC
2310875;MP;318;0;1029;23/06/2016;08:45;MC;1146;23/06/2016;09:40;MC
