Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2309515;MP;320;0;1081;24/06/2016;09:15;MC;0;24/06/2016;10:15;MC
2311076;GP;350;0;83;24/06/2016;11:35;LC;702;24/06/2016;13:55;LC
2311077;GP;340;0;914;24/06/2016;09:30;LC;738;24/06/2016;12:25;LC
2311078;GP;777;0;977;24/06/2016;06:50;LC;636;24/06/2016;10:40;LC
2311079;GP;777;0;351;24/06/2016;08:05;LC;682;24/06/2016;10:55;LC
2311080;GP;777;2;681;24/06/2016;08:10;LC;688;24/06/2016;13:50;LC
2311081;GP;777;2;929;24/06/2016;06:15;LC;662;24/06/2016;13:55;LC
2311082;MP;318;0;1123;24/06/2016;08:55;MC;7652;24/06/2016;10:05;MC
2311083;3N;E70;0;7639;24/06/2016;15:40;MC;7656;24/06/2016;16:20;MC
2311084;3N;E70;0;1093;24/06/2016;08:10;MC;7654;24/06/2016;08:50;MC
2311085;MP;318;0;1127;24/06/2016;11:50;MC;7644;24/06/2016;12:45;MC
2311086;MP;318;0;1741;24/06/2016;15:55;MC;7646;24/06/2016;16:50;MC
2311087;MP;321;0;1739;24/06/2016;18:10;MC;7648;24/06/2016;19:10;MC
2311088;MP;321;0;7663;24/06/2016;12:00;MC;7664;24/06/2016;12:55;MC
2311089;MP;321;0;7665;24/06/2016;14:40;MC;7666;24/06/2016;15:35;MC
2311090;MP;320;2;1313;23/06/2016;22:10;MC;7660;24/06/2016;07:20;MC
2311091;MP;320;0;7673;24/06/2016;08:40;MC;7662;24/06/2016;09:35;MC
2311092;MP;319;0;1851;24/06/2016;18:00;MC;7626;24/06/2016;19:00;MC
2311093;MP;319;0;1001;24/06/2016;12:15;MC;7624;24/06/2016;13:10;MC
2311094;MP;320;0;1463;24/06/2016;09:10;MC;7622;24/06/2016;10:00;MC
2311095;MP;321;0;7651;24/06/2016;07:50;MC;7620;24/06/2016;08:45;MC
2311096;MP;320;0;7721;24/06/2016;07:25;MC;7640;24/06/2016;08:40;MC
2311097;3N;E70;0;1373;24/06/2016;20:00;MC;7638;24/06/2016;20:45;MC
2311098;MP;321;0;1801;24/06/2016;20:30;MC;7630;24/06/2016;21:25;MC
2311099;MP;319;0;1025;24/06/2016;15:25;MC;7634;24/06/2016;16:15;MC
2311100;MP;321;0;1449;24/06/2016;08:40;MC;7720;24/06/2016;09:35;MC
2311101;MP;318;0;1423;24/06/2016;11:25;MC;7724;24/06/2016;12:40;MC
2311102;MP;320;0;7731;24/06/2016;20:00;MC;7728;24/06/2016;21:10;MC
2311103;MP;321;0;7701;24/06/2016;12:00;MC;7714;24/06/2016;12:55;MC
2311104;MP;320;0;7709;24/06/2016;19:55;MC;7712;24/06/2016;21:00;MC
2311105;3N;E70;0;1417;24/06/2016;09:00;MC;7752;24/06/2016;09:40;MC
2311106;3N;E70;0;1325;24/06/2016;12:20;MC;7754;24/06/2016;13:05;MC
2311107;3N;E70;0;1525;24/06/2016;19:55;MC;7758;24/06/2016;20:55;MC
2311108;MP;318;0;7727;24/06/2016;15:40;MC;7738;24/06/2016;16:30;MC
2311109;3N;E70;0;1265;24/06/2016;16:45;MC;7756;24/06/2016;17:20;MC
2311110;MP;318;0;1495;24/06/2016;20:45;MC;7732;24/06/2016;21:35;MC
2311111;MP;320;0;7683;24/06/2016;16:20;MC;7730;24/06/2016;17:05;MC
2311112;MP;318;0;1579;24/06/2016;09:05;MC;7736;24/06/2016;10:20;MC
2311113;3N;E70;0;1439;24/06/2016;08:35;MC;7676;24/06/2016;09:35;MC
2311114;3N;E70;0;7679;24/06/2016;12:15;MC;7678;24/06/2016;13:00;MC
2311115;MP;320;0;7641;24/06/2016;11:45;MC;7680;24/06/2016;12:45;MC
2311116;MP;319;0;7667;24/06/2016;17:35;MC;7668;24/06/2016;18:25;MC
2311117;MP;320;0;7671;24/06/2016;20:50;MC;7670;24/06/2016;21:40;MC
2311118;MP;320;0;7711;24/06/2016;08:45;MC;7702;24/06/2016;09:40;MC
2311119;MP;318;2;7685;23/06/2016;22:10;MC;7700;24/06/2016;07:15;MC
2311120;MP;318;0;1567;24/06/2016;17:35;MC;7708;24/06/2016;18:25;MC
2311121;MP;320;0;7703;24/06/2016;14:40;MC;7706;24/06/2016;15:40;MC
2311122;MP;319;0;1833;24/06/2016;20:10;MC;7684;24/06/2016;21:10;MC
2311123;MP;318;0;1611;24/06/2016;07:55;MC;7688;24/06/2016;08:45;MC
2311124;MP;318;0;1601;24/06/2016;17:40;MC;7686;24/06/2016;18:35;MC
2311125;GP;350;2;111;24/06/2016;05:35;LC;66;24/06/2016;10:30;LC
2311126;GP;777;2;333;24/06/2016;09:10;LC;72;24/06/2016;13:40;LC
2311127;GP;777;0;99;24/06/2016;11:20;LC;90;24/06/2016;14:10;LC
2311128;GP;777;0;515;24/06/2016;14:10;LC;80;24/06/2016;16:35;LC
2311129;GP;350;2;185;24/06/2016;05:55;LC;84;24/06/2016;10:55;LC
2311130;GP;777;0;69;24/06/2016;14:15;LC;10;24/06/2016;17:00;LC
2311131;GP;777;2;643;24/06/2016;06:15;LC;8;24/06/2016;19:10;LC
2311132;GP;350;0;65;24/06/2016;11:10;LC;6;24/06/2016;14:05;LC
2311133;GP;350;2;7;24/06/2016;08:35;LC;54;24/06/2016;13:45;LC
2311134;GP;330;0;23;24/06/2016;05:40;LC;22;24/06/2016;08:20;LC
2311135;GP;777;0;475;24/06/2016;14:15;LC;26;24/06/2016;17:00;LC
2311136;GP;350;0;55;24/06/2016;08:25;LC;178;24/06/2016;11:20;LC
2311137;GP;777;0;349;24/06/2016;11:35;LC;166;24/06/2016;14:20;LC
2311138;GP;330;0;191;24/06/2016;08:35;LC;146;24/06/2016;11:20;LC
2311139;GP;330;2;559;24/06/2016;06:05;LC;218;24/06/2016;11:05;LC
2311140;GP;330;2;770;24/06/2016;06:00;LC;226;24/06/2016;10:55;LC
2311141;GP;777;0;565;24/06/2016;19:45;LC;188;24/06/2016;23:30;LC
2311142;GP;330;2;339;24/06/2016;06:00;LC;192;24/06/2016;10:40;LC
2311143;GP;777;0;11;24/06/2016;11:10;LC;112;24/06/2016;14:00;LC
2311144;GP;330;2;145;24/06/2016;11:30;LC;144;24/06/2016;16:15;LC
2311145;GP;777;2;443;24/06/2016;08:00;LC;128;24/06/2016;14:00;LC
2311146;GP;777;0;953;24/06/2016;07:10;LC;775;24/06/2016;10:35;LC
2311147;GP;330;2;561;24/06/2016;14:15;LC;886;24/06/2016;23:25;LC
2311148;GP;330;2;889;24/06/2016;06:20;LC;896;24/06/2016;10:35;LC
2311149;GP;330;2;513;24/06/2016;06:10;LC;830;24/06/2016;11:00;LC
2311150;MP;319;0;1153;24/06/2016;08:45;MC;1044;24/06/2016;09:35;MC
2311151;MP;319;0;1151;24/06/2016;14:30;MC;1046;24/06/2016;15:55;MC
2311152;MP;320;0;1083;24/06/2016;17:25;MC;1042;24/06/2016;18:30;MC
2311153;MP;319;0;7629;24/06/2016;16:35;MC;1050;24/06/2016;17:40;MC
2311154;MP;318;0;1443;24/06/2016;16:00;MC;1048;24/06/2016;16:55;MC
2311156;3N;E90;0;1577;24/06/2016;20:15;MC;1018;24/06/2016;21:00;MC
2311157;MP;321;0;1535;24/06/2016;17:20;MC;1022;24/06/2016;18:15;MC
2311158;MP;320;0;1341;24/06/2016;11:55;MC;1012;24/06/2016;13:25;MC
2311159;MP;321;0;1295;24/06/2016;18:05;MC;1032;24/06/2016;19:00;MC
2311160;MP;319;0;1351;24/06/2016;08:50;MC;1024;24/06/2016;09:40;MC
2311161;MP;318;0;1605;24/06/2016;20:35;MC;1028;24/06/2016;21:25;MC
2311162;MP;321;0;1069;24/06/2016;16:55;MC;1080;24/06/2016;18:15;MC
2311163;MP;320;0;1139;24/06/2016;12:10;MC;1082;24/06/2016;13:10;MC
2311164;MP;318;0;7645;24/06/2016;16:25;MC;1100;24/06/2016;17:15;MC
2311165;MP;321;0;1681;24/06/2016;12:05;MC;1068;24/06/2016;13:05;MC
2311166;3N;E70;0;7757;24/06/2016;20:00;MC;1092;24/06/2016;20:45;MC
2311167;MP;319;0;1753;24/06/2016;17:30;MC;1088;24/06/2016;19:10;MC
2311168;MP;318;2;1561;23/06/2016;17:45;MC;1056;24/06/2016;07:30;MC
2311170;MP;318;2;1767;23/06/2016;22:05;MC;1066;24/06/2016;07:20;MC
2311171;MP;321;0;1505;24/06/2016;15:00;MC;1062;24/06/2016;16:00;MC
2311172;MP;320;0;1497;24/06/2016;11:45;MC;1064;24/06/2016;12:35;MC
2311173;GP;777;0;457;24/06/2016;08:00;LC;958;24/06/2016;11:20;LC
2311174;GP;777;2;293;24/06/2016;04:30;LC;976;24/06/2016;10:40;LC
2311175;GP;777;0;935;24/06/2016;11:30;LC;968;24/06/2016;14:00;LC
2311176;GP;777;0;943;24/06/2016;14:00;LC;946;24/06/2016;16:35;LC
2311177;MP;319;2;1051;23/06/2016;22:15;MC;1000;24/06/2016;07:15;MC
2311178;3N;E90;0;7535;24/06/2016;16:10;MC;1006;24/06/2016;18:30;MC
2311179;3N;E70;0;1725;24/06/2016;07:55;MC;1010;24/06/2016;08:35;MC
2311180;MP;321;0;1625;24/06/2016;19:15;MC;1004;24/06/2016;20:35;MC
2311181;GP;350;2;183;24/06/2016;14:20;LC;990;24/06/2016;23:25;LC
2311182;3N;E70;0;1311;24/06/2016;08:15;MC;1192;24/06/2016;09:05;MC
2311183;MP;320;0;1179;24/06/2016;15:05;MC;1194;24/06/2016;16:15;MC
