Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2310629;MP       ;320;0;AF           ;AF                ;1463;23/06/2016;09:10;MC               ;ARN      ;AF           ;AF                ;1734;23/06/2016;10:10;MC               ;TXL
2310630;MP       ;319;0;AF           ;AF                ;1855;23/06/2016;15:35;MC               ;ALG      ;AF           ;AF                ;1754;23/06/2016;16:25;MC               ;ALG
2310631;MP       ;318;0;AF           ;AF                ;1415;23/06/2016;09:05;MC               ;ZRH      ;AF           ;AF                ;1722;23/06/2016;10:15;MC               ;MUC
2310632;3N       ;E70          ;0;A5           ;AF                ;1317;23/06/2016;19:20;MC               ;GOA      ;A5           ;AF                ;1724;23/06/2016;20:00;MC               ;BRE
2310633;MP       ;318;0;AF           ;AF                ;1367;23/06/2016;14:35;MC               ;FLR      ;AF           ;AF                ;1814;23/06/2016;16:10;MC               ;ZRH
2310634;MP       ;318;0;AF           ;AF                ;1611;23/06/2016;07:55;MC               ;HAM      ;AF           ;AF                ;1812;23/06/2016;08:45;MC               ;LIN
2310635;MP       ;318;0;AF           ;AF                ;1751;23/06/2016;11:55;MC               ;CPH      ;AF           ;AF                ;1828;23/06/2016;12:55;MC               ;BLQ
2310636;MP       ;319;0;AF           ;AF                ;7517;23/06/2016;11:25;MC               ;TLS      ;AF           ;AF                ;1832;23/06/2016;12:40;MC               ;ATH
2310638;MP       ;321;0;AF           ;AF                ;1641;23/06/2016;15:00;MC               ;AMS      ;AF           ;AF                ;1822;23/06/2016;15:55;MC               ;MUC
2310639;3N       ;E90          ;0;A5           ;AF                ;1019;23/06/2016;08:55;MC               ;FRA      ;A5           ;AF                ;1774;23/06/2016;09:40;MC               ;OSL
2310640;MP       ;318;0;AF           ;AF                ;1711;23/06/2016;16:40;MC               ;HAM      ;AF           ;AF                ;1766;23/06/2016;17:45;MC               ;FLR
2310641;3N       ;E70          ;0;A5           ;AF                ;7657;23/06/2016;19:55;MC               ;BIQ      ;A5           ;AF                ;1764;23/06/2016;20:45;MC               ;BLL
2310643;3N       ;E70          ;0;A5           ;AF                ;1293;23/06/2016;15:50;MC               ;BSL      ;A5           ;AF                ;1810;23/06/2016;16:30;MC               ;NUE
2310644;MP       ;320;1;AF           ;AF                ;1669;23/06/2016;11:15;MC               ;MAN      ;AF           ;AF                ;1780;23/06/2016;13:25;MC               ;LHR
2310645;MP       ;319;0;AF           ;AF                ;1281;23/06/2016;20:00;MC               ;LHR      ;AF           ;AF                ;1784;23/06/2016;20:55;MC               ;TUN
2310646;MP       ;319;0;AF           ;AF                ;1165;23/06/2016;11:40;MC               ;BHX      ;AF           ;AF                ;1788;23/06/2016;12:35;MC               ;SOF
