Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2309482;3N;E90;0;1007;19/06/2016;21:50;MC;1518;20/06/2016;07:30;MC
2309499;MP;320;2;1169;19/06/2016;22:10;MC;1554;20/06/2016;07:20;MC
2309501;MP;318;2;1239;19/06/2016;22:15;MC;1542;20/06/2016;07:15;MC
2309551;MP;320;2;1197;19/06/2016;22:20;MC;1620;20/06/2016;10:50;MC
2309564;MP;319;2;1891;19/06/2016;21:25;MC;1896;20/06/2016;07:15;MC
2309567;MP;319;2;7527;19/06/2016;22:15;MC;7516;20/06/2016;07:20;MC
2309588;GP;340;2;377;19/06/2016;11:30;LC;368;20/06/2016;10:35;LC
2309622;MP;318;2;1249;19/06/2016;22:20;MC;1434;20/06/2016;07:35;MC
2309628;MP;318;2;7685;19/06/2016;22:10;MC;1422;20/06/2016;07:20;MC
2309645;MP;318;2;7715;19/06/2016;22:15;MC;1750;20/06/2016;07:15;MC
2309684;MP;321;2;1181;19/06/2016;22:20;MC;1680;20/06/2016;07:30;MC
2309700;MP;320;2;1527;19/06/2016;22:20;MC;7660;20/06/2016;07:20;MC
2309729;MP;318;2;1767;19/06/2016;22:05;MC;7700;20/06/2016;07:15;MC
2309765;MP;319;2;1565;19/06/2016;22:05;MC;1044;20/06/2016;09:35;MC
2309781;MP;319;2;1745;19/06/2016;21:40;MC;1084;20/06/2016;07:15;MC
2309785;MP;318;2;1561;19/06/2016;17:45;MC;1056;20/06/2016;07:30;MC
2309789;MP;318;2;1035;19/06/2016;21:50;MC;1066;20/06/2016;07:20;MC
2309797;MP;319;2;1049;19/06/2016;21:20;MC;1000;20/06/2016;07:15;MC
2309809;MP;319;2;7633;19/06/2016;22:20;MC;1212;20/06/2016;07:20;MC
2309811;MP;321;2;1063;19/06/2016;22:05;MC;1204;20/06/2016;07:15;MC
2309813;MP;319;2;1755;19/06/2016;22:15;MC;1164;20/06/2016;08:00;MC
2309818;MP;319;2;1023;19/06/2016;22:20;MC;1232;20/06/2016;07:15;MC
2309826;MP;318;2;1189;19/06/2016;22:20;MC;1228;20/06/2016;07:30;MC
2309830;MP;318;2;1315;19/06/2016;22:15;MC;1126;20/06/2016;07:25;MC
2309834;MP;318;2;1047;19/06/2016;21:30;MC;1114;20/06/2016;07:35;MC
2309850;MP;320;2;1195;19/06/2016;22:05;MC;1138;20/06/2016;07:15;MC
2309859;MP;320;2;1101;19/06/2016;22:20;MC;1340;20/06/2016;07:50;MC
2309860;MP;320;2;1051;19/06/2016;22:15;MC;1394;20/06/2016;07:15;MC
2309872;MP;321;2;1043;19/06/2016;21:40;MC;1382;20/06/2016;07:25;MC
2309894;3N;E90;0;1487;18/06/2016;19:40;MC;1306;20/06/2016;07:15;MC
2310711;MP;320;2;487;17/06/2016;05:30;LC;452;23/06/2016;14:45;LC
