Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2311866;MP;320;0;1243;26/06/2016;08:35;MC;1178;26/06/2016;09:40;MC
2311868;3N;E70;0;7753;26/06/2016;12:20;MC;1186;26/06/2016;13:00;MC
2311869;MP;320;0;1321;26/06/2016;12:05;MC;1184;26/06/2016;13:40;MC
2311871;MP;320;0;1889;26/06/2016;17:20;MC;1168;26/06/2016;18:20;MC
2311874;MP;320;0;7637;26/06/2016;19:45;MC;1242;26/06/2016;20:45;MC
2311875;MP;318;0;1615;26/06/2016;16:35;MC;1238;26/06/2016;17:25;MC
2311876;3N;E90;0;1519;26/06/2016;11:55;MC;1218;26/06/2016;12:35;MC
2311877;3N;E70;0;1011;26/06/2016;12:00;MC;1210;26/06/2016;12:40;MC
2311881;MP;319;0;1427;26/06/2016;14:40;MC;1226;26/06/2016;15:40;MC
2311882;MP;318;0;7733;26/06/2016;19:45;MC;1122;26/06/2016;21:00;MC
2311884;MP;320;0;1305;26/06/2016;19:55;MC;1124;26/06/2016;20:50;MC
2311885;3N;E90;0;1487;26/06/2016;19:40;MC;1106;26/06/2016;20:30;MC
2311888;MP;320;0;1065;26/06/2016;16:00;MC;1120;26/06/2016;17:30;MC
2311889;MP;318;0;1843;26/06/2016;13:15;MC;1142;26/06/2016;15:00;MC
2311890;MP;319;0;1591;26/06/2016;18:10;MC;1144;26/06/2016;19:30;MC
2311891;MP;320;0;1301;26/06/2016;15:00;MC;1140;26/06/2016;16:45;MC
2311892;MP;319;0;1351;26/06/2016;08:50;MC;1150;26/06/2016;09:50;MC
2311893;MP;319;0;1285;26/06/2016;16:10;MC;1152;26/06/2016;17:05;MC
2311894;MP;318;0;1029;26/06/2016;08:45;MC;1146;26/06/2016;09:40;MC
2311896;MP;320;0;1511;26/06/2016;19:55;MC;1134;26/06/2016;20:50;MC
2311898;MP;320;0;1233;26/06/2016;14:40;MC;1342;26/06/2016;16:00;MC
2311899;MP;319;0;1549;26/06/2016;19:55;MC;1350;26/06/2016;21:00;MC
2311900;MP;321;0;1401;26/06/2016;09:10;MC;1348;26/06/2016;10:05;MC
2311901;MP;320;0;7517;26/06/2016;11:25;MC;1346;26/06/2016;12:35;MC
2311902;MP;320;0;1141;26/06/2016;20:00;MC;1326;26/06/2016;21:00;MC
2311903;3N;E70;0;7751;26/06/2016;08:00;MC;1324;26/06/2016;08:50;MC
2311904;MP;318;0;1723;26/06/2016;14:15;MC;1328;26/06/2016;15:25;MC
2311905;3N;E70;0;7677;26/06/2016;07:50;MC;1338;26/06/2016;08:30;MC
2311907;3N;E70;0;1211;26/06/2016;16:05;MC;1392;26/06/2016;16:45;MC
2311908;MP;319;0;1465;26/06/2016;17:35;MC;1390;26/06/2016;18:50;MC
2311910;MP;321;0;1823;26/06/2016;20:00;MC;1400;26/06/2016;20:50;MC
