Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2309511;MP;320;0;1349;22/06/2016;14:40;MC;0;22/06/2016;15:40;MC
2310237;MP;320;0;1243;22/06/2016;08:35;MC;1532;22/06/2016;09:50;MC
2310238;3N;E70;0;7755;22/06/2016;15:45;MC;1524;22/06/2016;16:25;MC
2310239;MP;319;0;1727;22/06/2016;16:50;MC;1526;22/06/2016;18:05;MC
2310243;3N;E90;0;7537;22/06/2016;12:15;MC;1506;22/06/2016;12:55;MC
2310245;MP;318;0;1713;22/06/2016;18:40;MC;1512;22/06/2016;19:50;MC
2310246;MP;318;0;7689;22/06/2016;12:20;MC;1566;22/06/2016;13:10;MC
2310247;3N;E90;0;1607;22/06/2016;13:20;MC;1576;22/06/2016;16:20;MC
2310249;MP;318;0;1057;22/06/2016;11:50;MC;1560;22/06/2016;13:00;MC
2310250;MP;319;0;1465;22/06/2016;17:35;MC;1564;22/06/2016;18:45;MC
2310253;MP;318;0;1815;22/06/2016;19:30;MC;1578;22/06/2016;20:35;MC
2310255;MP;321;0;7625;22/06/2016;12:05;MC;1534;22/06/2016;13:00;MC
2310256;3N;E90;0;1375;22/06/2016;19:10;MC;1552;22/06/2016;19:55;MC
2310257;MP;319;0;1233;22/06/2016;14:40;MC;1548;22/06/2016;15:30;MC
2310274;3N;E70;0;1393;22/06/2016;19:45;MC;1438;22/06/2016;20:25;MC
2310275;MP;320;0;1343;22/06/2016;19:15;MC;1462;22/06/2016;20:05;MC
2310276;MP;321;0;1823;22/06/2016;20:00;MC;1448;22/06/2016;21:00;MC
2310277;3N;E90;0;1307;22/06/2016;10:35;MC;1452;22/06/2016;13:05;MC
2310278;MP;318;0;1543;22/06/2016;10:25;MC;1742;22/06/2016;11:15;MC
2310279;MP;321;0;1205;22/06/2016;12:25;MC;1738;22/06/2016;13:25;MC
2310280;MP;318;0;1423;22/06/2016;11:25;MC;1740;22/06/2016;12:35;MC
2310281;MP;319;0;1089;22/06/2016;09:20;MC;1752;22/06/2016;10:20;MC
2310282;MP;319;0;1145;22/06/2016;11:45;MC;1744;22/06/2016;12:50;MC
2310284;MP;318;1;1813;22/06/2016;12:30;MC;1712;22/06/2016;14:45;MC
2310285;3N;E90;0;1453;22/06/2016;18:00;MC;1718;22/06/2016;18:40;MC
2310287;MP;318;0;1415;22/06/2016;09:05;MC;1722;22/06/2016;10:15;MC
2310288;MP;319;0;1213;22/06/2016;11:25;MC;1726;22/06/2016;12:35;MC
2310289;MP;321;0;1401;22/06/2016;09:10;MC;1734;22/06/2016;10:10;MC
2310291;3N;E70;0;1317;22/06/2016;19:20;MC;1724;22/06/2016;20:00;MC
2310292;MP;318;0;1147;22/06/2016;15:10;MC;1814;22/06/2016;16:10;MC
