Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2311867;MP;321;2;1063;25/06/2016;22:05;MC;1204;26/06/2016;07:15;MC
2311870;MP;319;2;1755;25/06/2016;22:15;MC;1164;26/06/2016;08:00;MC
2311872;MP;320;2;1051;25/06/2016;22:15;MC;1232;26/06/2016;07:15;MC
2311873;MP;321;2;1049;25/06/2016;21:20;MC;1240;26/06/2016;07:20;MC
2311879;MP;318;2;7687;25/06/2016;20:15;MC;1212;26/06/2016;07:20;MC
2311880;MP;318;2;1405;25/06/2016;21:20;MC;1228;26/06/2016;07:30;MC
2311883;MP;321;2;7715;25/06/2016;22:15;MC;1126;26/06/2016;07:25;MC
2311886;MP;318;2;1101;25/06/2016;22:20;MC;1114;26/06/2016;07:35;MC
2311895;MP;321;2;1441;25/06/2016;21:45;MC;1148;26/06/2016;07:40;MC
2311897;MP;320;2;1195;25/06/2016;22:05;MC;1138;26/06/2016;07:15;MC
2311906;MP;320;2;7633;25/06/2016;22:20;MC;1340;26/06/2016;07:50;MC
2311909;MP;318;2;7585;25/06/2016;18:00;MC;1394;26/06/2016;07:15;MC
2311918;MP;320;2;1583;25/06/2016;22:20;MC;1382;26/06/2016;07:25;MC
2311940;3N;E90;0;1119;25/06/2016;20:00;MC;1306;26/06/2016;07:15;MC
2309514;GP;350;0;185;25/06/2016;05:55;LC;0;25/06/2016;07:05;LC
2309516;MP;320;0;4019;25/06/2016;17:00;MC;0;25/06/2016;18:00;MC
2309518;MP;320;0;1185;25/06/2016;19:40;MC;0;25/06/2016;20:40;MC
2309895;3N;E90;0;1487;25/06/2016;19:40;MC;1306;27/06/2016;07:15;MC
2311265;3N;E70;0;1293;25/06/2016;15:50;MC;1524;25/06/2016;16:25;MC
2311266;MP;319;0;1711;25/06/2016;16:40;MC;1526;25/06/2016;18:05;MC
2311268;MP;320;0;1301;25/06/2016;15:00;MC;1510;25/06/2016;15:55;MC
2311269;MP;321;0;1005;25/06/2016;08:50;MC;1504;25/06/2016;09:45;MC
2311271;3N;E90;0;1307;25/06/2016;10:35;MC;1506;25/06/2016;12:55;MC
2311272;3N;E70;0;1765;25/06/2016;09:30;MC;1516;25/06/2016;10:20;MC
