Stay ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date ;Arr_Hour;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date ;Dep_Hour;Dep_CourrierCode ;Dep_Stop ;Parking 1 ;Contact 1 ;Zone 1 ;Start Date 1 ;Start Hour 1 ;End Date 1 ;End Hour 1 ;Parking 2 ;Contact 2 ;Zone 2 ;Start Date 2 ;Start Hour 2 ;End Date 2 ;End Hour 2 ;Parking 3 ;Contact 3 ;Zone 3 ;Start Date 3 ;Start Hour 3 ;End Date 3 ;End Hour 3 ;Parking 4 ;Contact 4 ;Zone 4 ;Start Date 4 ;Start Hour 4 ;End Date 4 ;End Hour 4 
3301389;MP;318;0;AF;AF;1443;09/08/2022;15:55;MC;GVA;AF;AF;1140;09/08/2022;16:40;MC;AMS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301391;MP;223;0;AF;AF;1225;09/08/2022;13:05;MC;LIS;AF;AF;1378;09/08/2022;14:25;MC;NAP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301393;MP;321;0;AF;AF;1625;09/08/2022;19:25;MC;LIS;AF;AF;1124;09/08/2022;20:45;MC;LIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301417;MP;320;0;AF;AF;1463;09/08/2022;08:50;MC;ARN;AF;AF;7652;09/08/2022;09:55;MC;LYS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301428;MP;319;0;AF;AF;1289;09/08/2022;20:35;MC;BRI;AF;AF;1326;09/08/2022;21:35;MC;VCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301430;MP;319;0;AF;AF;7637;09/08/2022;21:05;MC;BOD;AF;AF;7684;09/08/2022;21:55;MC;MPL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301432;MP;318;0;AF;AF;1623;09/08/2022;16:20;MC;MUC;AF;AF;1404;09/08/2022;17:05;MC;FCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301453;MP;321;0;AF;AF;1341;09/08/2022;11:55;MC;AMS;AF;AF;1624;09/08/2022;13:10;MC;LIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301460;MP;319;0;AF;AF;7515;09/08/2022;17:40;MC;TLS;AF;AF;1042;09/08/2022;18:30;MC;GVA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301500;MP;318;0;AF;AF;1141;09/08/2022;20:00;MC;AMS;AF;AF;1122;09/08/2022;20:55;MC;MUC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301516;MP;320;0;AF;AF;7643;09/08/2022;13:05;MC;LYS;AF;AF;1290;09/08/2022;14:20;MC;CTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301517;MP;321;1;AF;AF;1125;09/08/2022;09:10;MC;LIS;AF;AF;9452;09/08/2022;11:20;MC;LPA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301572;MP;223;0;AF;AF;1423;09/08/2022;11:40;MC;MUC;AF;AF;1070;09/08/2022;12:50;MC;HEL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301573;MP;321;0;AF;AF;7621;09/08/2022;07:30;MC;BOD;AF;AF;7528;09/08/2022;08:30;MC;TLS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301581;MP;320;0;AF;AF;1127;09/08/2022;11:45;MC;VCE;AF;AF;1346;09/08/2022;12:50;MC;WAW;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301599;MP;223;0;AF;AF;1147;09/08/2022;15:05;MC;WAW;AF;AF;1062;09/08/2022;16:10;MC;ARN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301616;MP;321;0;AF;AF;7683;09/08/2022;16:35;MC;MPL;AF;AF;7646;09/08/2022;17:40;MC;LYS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301618;MP;319;0;AF;AF;1481;09/08/2022;13:15;MC;PMO;AF;AF;7522;09/08/2022;14:05;MC;TLS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301631;MP;321;0;AF;AF;7521;09/08/2022;12:00;MC;TLS;AF;AF;7680;09/08/2022;13:05;MC;MPL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301637;MP;319;0;AF;AF;9415;09/08/2022;14:25;MC;VLC;AF;AF;1332;09/08/2022;15:20;MC;ATH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301655;MP;223;0;AF;AF;1151;09/08/2022;14:00;MC;CPH;AF;AF;1082;09/08/2022;15:35;MC;PRG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301659;MP;321;0;AF;AF;7739;09/08/2022;12:05;MC;BES;AF;AF;7644;09/08/2022;13:05;MC;LYS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301661;MP;223;0;AF;AF;1351;09/08/2022;08:25;MC;CPH;AF;AF;1300;09/08/2022;09:20;MC;MAD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301664;MP;319;0;AF;AF;7589;09/08/2022;21:05;MC;AJA;AF;AF;1492;09/08/2022;21:55;MC;VLC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301671;MP;321;0;AF;AF;7529;09/08/2022;07:35;MC;TLS;AF;AF;7714;09/08/2022;08:50;MC;NCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301727;MP;320;0;AF;AF;1833;09/08/2022;20:00;MC;ATH;AF;AF;7732;09/08/2022;21:15;MC;BES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301749;MP;321;0;AF;AF;1775;09/08/2022;20:00;MC;OSL;AF;AF;1004;09/08/2022;21:05;MC;FCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301761;MP;319;0;AF;AF;7731;09/08/2022;17:00;MC;NTE;AF;AF;7626;09/08/2022;17:50;MC;BOD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301771;MP;321;0;AF;AF;1843;09/08/2022;13:15;MC;GVA;AF;AF;1774;09/08/2022;14:25;MC;OSL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301787;MP;319;0;AF;AF;7703;09/08/2022;13:15;MC;NCE;AF;AF;7730;09/08/2022;14:05;MC;NTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301800;MP;320;0;AF;AF;7663;09/08/2022;13:20;MC;MRS;AF;AF;1096;09/08/2022;14:15;MC;JTR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301809;MP;223;0;AF;AF;1605;09/08/2022;20:30;MC;FCO;AF;AF;1028;09/08/2022;22:05;MC;BLQ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301811;MP;321;0;AF;AF;1033;09/08/2022;08:50;MC;ATH;AF;AF;1842;09/08/2022;09:55;MC;GVA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301813;MP;321;0;AF;AF;7709;09/08/2022;20:00;MC;NCE;AF;AF;7630;09/08/2022;21:25;MC;BOD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301847;MP;320;0;AF;AF;1263;09/08/2022;15:20;MC;ARN;AF;AF;7586;09/08/2022;16:15;MC;FSC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301885;MP;319;0;AF;AF;7721;09/08/2022;07:05;MC;NTE;AF;AF;1830;09/08/2022;08:15;MC;MXP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301917;MP;320;0;AZ;AZ;316;09/08/2022;10:50;MC;FCO;AZ;AZ;319;09/08/2022;11:40;MC;FCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301918;MP;320;0;AZ;AZ;324;09/08/2022;17:25;MC;FCO;AZ;AZ;325;09/08/2022;18:15;MC;FCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301920;MP;319;0;AZ;AZ;312;09/08/2022;14:35;MC;LIN;AZ;AZ;313;09/08/2022;15:25;MC;LIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301921;MP;319;0;AZ;AZ;300;09/08/2022;10:20;MC;LIN;AZ;AZ;305;09/08/2022;11:10;MC;LIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301922;MP;319;0;AZ;AZ;358;09/08/2022;20:40;MC;LIN;AZ;AZ;311;09/08/2022;21:30;MC;LIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3302126;MP;737;1;KL;KL;1229;09/08/2022;08:00;MC;AMS;KL;KL;1230;09/08/2022;10:15;MC;AMS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3302127;MP;737;1;KL;KL;1233;09/08/2022;12:25;MC;AMS;KL;KL;1234;09/08/2022;14:30;MC;AMS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3302128;MP;737;1;KL;KL;1243;09/08/2022;16:30;MC;AMS;KL;KL;1244;09/08/2022;18:35;MC;AMS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3302129;MP;737;1;KL;KL;1245;09/08/2022;17:50;MC;AMS;KL;KL;1246;09/08/2022;20:15;MC;AMS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3302149;MP;737;1;KL;KL;1227;09/08/2022;07:15;MC;AMS;KL;KL;1228;09/08/2022;09:30;MC;AMS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
