Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2309902 ;MP       ;321          ;      0 ;AF           ;AF                ;      1005 ;21/06/2016 ;08:50    ;MC               ;FCO      ;AF           ;AF                ;      1504 ;21/06/2016 ;09:45    ;MC               ;FCO
2309904 ;3N       ;E90          ;      0 ;A5           ;AF                ;      7537 ;21/06/2016 ;12:15    ;MC               ;PUF      ;A5           ;AF                ;      1506 ;21/06/2016 ;12:55    ;MC               ;DUS
2309905 ;3N       ;E70          ;      0 ;A5           ;AF                ;      1765 ;21/06/2016 ;09:30    ;MC               ;BLL      ;A5           ;AF                ;      1516 ;21/06/2016 ;10:20    ;MC               ;GOA
2309906 ;MP       ;318          ;      0 ;AF           ;AF                ;      1713 ;21/06/2016 ;18:40    ;MC               ;LIN      ;AF           ;AF                ;      1512 ;21/06/2016 ;19:50    ;MC               ;LIN
2309907 ;MP       ;318          ;      0 ;AF           ;AF                ;      7689 ;21/06/2016 ;12:20    ;MC               ;MPL      ;AF           ;AF                ;      1566 ;21/06/2016 ;13:10    ;MC               ;FLR
2309908 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1607 ;21/06/2016 ;13:20    ;MC               ;DUS      ;A5           ;AF                ;      1576 ;21/06/2016 ;16:20    ;MC               ;BIO
2309910 ;MP       ;318          ;      0 ;AF           ;AF                ;      1057 ;21/06/2016 ;11:50    ;MC               ;GLA      ;AF           ;AF                ;      1560 ;21/06/2016 ;13:00    ;MC               ;ZAG
2309911 ;MP       ;319          ;      0 ;AF           ;AF                ;      1465 ;21/06/2016 ;17:35    ;MC               ;LED      ;AF           ;AF                ;      1564 ;21/06/2016 ;18:45    ;MC               ;BHX
2309912 ;MP       ;320          ;      0 ;AF           ;AF                ;      1081 ;21/06/2016 ;09:15    ;MC               ;LHR      ;AF           ;AF                ;      1580 ;21/06/2016 ;10:10    ;MC               ;LHR
2309913 ;MP       ;318          ;      0 ;AF           ;AF                ;      7733 ;21/06/2016 ;19:45    ;MC               ;BES      ;AF           ;AF                ;      1578 ;21/06/2016 ;20:35    ;MC               ;NAP
2309914 ;MP       ;318          ;      1 ;AF           ;AF                ;      1049 ;20/06/2016 ;21:20    ;MC               ;BCN      ;AF           ;AF                ;      1542 ;21/06/2016 ;07:15    ;MC               ;GVA
2309915 ;MP       ;321          ;      0 ;AF           ;AF                ;      7625 ;21/06/2016 ;12:05    ;MC               ;BOD      ;AF           ;AF                ;      1534 ;21/06/2016 ;13:00    ;MC               ;TXL
2309916 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1375 ;21/06/2016 ;19:10    ;MC               ;OSL      ;A5           ;AF                ;      1552 ;21/06/2016 ;19:55    ;MC               ;GOT
2309917 ;MP       ;319          ;      0 ;AF           ;AF                ;      1233 ;21/06/2016 ;14:40    ;MC               ;ATH      ;AF           ;AF                ;      1548 ;21/06/2016 ;15:30    ;MC               ;BCN
2309918 ;MP       ;320          ;      1 ;AF           ;AF                ;      1197 ;20/06/2016 ;22:20    ;MC               ;CMN      ;AF           ;AF                ;      1554 ;21/06/2016 ;07:20    ;MC               ;ALG
2309919 ;MP       ;320          ;      0 ;AF           ;AF                ;      1125 ;21/06/2016 ;09:30    ;MC               ;LIS      ;AF           ;AF                ;      1426 ;21/06/2016 ;10:25    ;MC               ;VCE
2309920 ;MP       ;318          ;      1 ;AF           ;AF                ;      7715 ;20/06/2016 ;22:15    ;MC               ;NCE      ;AF           ;AF                ;      1434 ;21/06/2016 ;07:35    ;MC               ;TXL
2309921 ;MP       ;318          ;      0 ;AF           ;AF                ;      1815 ;21/06/2016 ;19:30    ;MC               ;ZRH      ;AF           ;AF                ;      1414 ;21/06/2016 ;21:10    ;MC               ;ZRH
2309922 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1775 ;21/06/2016 ;15:05    ;MC               ;OSL      ;A5           ;AF                ;      1406 ;21/06/2016 ;15:45    ;MC               ;DUS
2309924 ;MP       ;319          ;      0 ;AF           ;AF                ;      7681 ;21/06/2016 ;07:50    ;MC               ;MPL      ;AF           ;AF                ;      1410 ;21/06/2016 ;08:35    ;MC               ;HAM
2309925 ;3N       ;E70          ;      0 ;A5           ;AF                ;      1811 ;21/06/2016 ;20:00    ;MC               ;NUE      ;A5           ;AF                ;      1416 ;21/06/2016 ;20:50    ;MC               ;GOA
2309926 ;MP       ;318          ;      1 ;AF           ;AF                ;      1239 ;20/06/2016 ;22:15    ;MC               ;VIE      ;AF           ;AF                ;      1422 ;21/06/2016 ;07:20    ;MC               ;MUC
2309927 ;3N       ;E70          ;      0 ;A5           ;AF                ;      1187 ;21/06/2016 ;17:25    ;MC               ;LJU      ;A5           ;AF                ;      1472 ;21/06/2016 ;19:00    ;MC               ;ABZ
2309928 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1107 ;21/06/2016 ;07:55    ;MC               ;DUS      ;A5           ;AF                ;      1476 ;21/06/2016 ;08:35    ;MC               ;BIO
2309929 ;MP       ;319          ;      0 ;AF           ;AF                ;      1381 ;21/06/2016 ;09:00    ;MC               ;LHR      ;AF           ;AF                ;      1464 ;21/06/2016 ;09:55    ;MC               ;LED
2309930 ;MP       ;320          ;      0 ;AF           ;AF                ;      1781 ;21/06/2016 ;18:05    ;MC               ;LHR      ;AF           ;AF                ;      1496 ;21/06/2016 ;19:00    ;MC               ;CMN
