Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2309482;3N;E90;0;1007;19/06/2016;21:50;MC;1518;20/06/2016;07:30;MC
2309484;3N;E70;0;7755;20/06/2016;15:45;MC;1524;20/06/2016;16:25;MC
2309485;MP;319;0;1727;20/06/2016;16:50;MC;1526;20/06/2016;18:05;MC
2309487;MP;320;0;1427;20/06/2016;14:40;MC;1510;20/06/2016;15:55;MC
2309488;MP;321;0;1005;20/06/2016;08:50;MC;1504;20/06/2016;09:45;MC
2309490;3N;E90;0;7537;20/06/2016;12:15;MC;1506;20/06/2016;12:55;MC
2309491;3N;E70;0;1765;20/06/2016;09:30;MC;1516;20/06/2016;10:20;MC
2309492;MP;318;0;1713;20/06/2016;18:40;MC;1512;20/06/2016;19:50;MC
2309493;3N;E90;0;1607;20/06/2016;13:20;MC;1576;20/06/2016;16:20;MC
2309494;MP;318;0;7689;20/06/2016;12:20;MC;1566;20/06/2016;13:10;MC
2309496;MP;318;0;1057;20/06/2016;11:50;MC;1560;20/06/2016;13:00;MC
2309497;MP;319;0;1753;20/06/2016;17:30;MC;1564;20/06/2016;18:45;MC
2309498;MP;320;0;1081;20/06/2016;09:15;MC;1580;20/06/2016;10:10;MC
2309499;MP;320;2;1169;19/06/2016;22:10;MC;1554;20/06/2016;07:20;MC
2309500;MP;318;0;1815;20/06/2016;19:30;MC;1578;20/06/2016;20:35;MC
2309501;MP;318;2;1239;19/06/2016;22:15;MC;1542;20/06/2016;07:15;MC
2309503;MP;321;0;7625;20/06/2016;12:05;MC;1534;20/06/2016;13:00;MC
2309504;3N;E90;0;1375;20/06/2016;19:10;MC;1552;20/06/2016;19:55;MC
2309505;MP;320;0;1243;20/06/2016;08:35;MC;1532;20/06/2016;09:50;MC
2309506;MP;319;0;1151;20/06/2016;14:30;MC;1548;20/06/2016;15:30;MC
2309522;GP;777;0;719;20/06/2016;06:05;LC;0;20/06/2016;07:05;LC
2309548;MP;319;0;7637;20/06/2016;19:45;MC;1694;20/06/2016;20:45;MC
2309550;MP;321;0;7725;20/06/2016;12:30;MC;1622;20/06/2016;13:25;MC
2309551;MP;320;2;1197;19/06/2016;22:20;MC;1620;20/06/2016;10:50;MC
2309552;3N;E70;0;7655;20/06/2016;12:30;MC;1638;20/06/2016;13:15;MC
2309553;MP;321;0;1241;20/06/2016;10:45;MC;1640;20/06/2016;11:40;MC
2309554;MP;321;0;7621;20/06/2016;07:40;MC;1642;20/06/2016;08:30;MC
2309555;MP;321;0;1643;20/06/2016;11:40;MC;1648;20/06/2016;12:35;MC
